relation	status	nodes	edges	alternatives	transitions	routes	detail
10104318	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_FROM=1, MISSING_TO=1, VIA_WAY_DEFERRED=1}
10295368	PASS	4	4	1	11	3	
10295369	PASS	4	4	1	11	3	
10295375	PASS	10	17	1	22	4	
10434450	PASS	11	17	1	14	3	
12336732	PASS	9	8	1	25	5	
12336777	PASS	30	51	1	14	3	
12336902	PASS	9	11	1	14	3	
12336924	PASS	13	14	1	24	4	
12337102	INELIGIBLE	0	0	0	0	0	{DISCONNECTED_VIA=1, VIA_WAY_DEFERRED=1}
12337402	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, VIA_WAY_DEFERRED=1}
12367898	PASS	19	27	1	39	5	
12395474	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, UNKNOWN_ROLE=1, VIA_WAY_DEFERRED=1}
12401010	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, UNKNOWN_ROLE=1, VIA_WAY_DEFERRED=1}
12465399	PASS	7	6	1	11	3	
12465432	PASS	10	10	1	13	3	
12471817	PASS	26	26	1	13	3	
12477140	PASS	24	26	1	15	3	
12480303	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_TO=1, VIA_WAY_DEFERRED=1}
12480801	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, UNKNOWN_ROLE=1, VIA_WAY_DEFERRED=1}
14284658	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_TO=1, VIA_WAY_DEFERRED=1}
14284688	INELIGIBLE	0	0	0	0	0	{INVALID_MEMBERS=1, MISSING_FROM=1, VIA_WAY_DEFERRED=1}
15877222	PASS	9	9	1	13	3	
15877223	PASS	9	9	1	13	3	
15877224	PASS	19	31	1	14	3	
15877225	PASS	26	45	1	14	3	
15927307	PASS	4	3	1	9	3	
16217091	PASS	9	9	1	13	3	
16217092	PASS	12	12	1	13	3	
16217093	PASS	11	13	1	15	3	
18067410	PASS	15	15	1	14	3	
18067411	PASS	15	15	1	14	3	
18364605	PASS	9	10	1	24	4	
18364606	PASS	13	14	1	24	4	
18461430	PASS	4	4	1	11	3	
18461431	PASS	7	7	1	13	3	
18461433	PASS	17	32	1	15	3	
18461434	PASS	6	7	1	14	3	
18461457	PASS	7	7	1	13	3	
18461458	PASS	7	7	1	13	3	
18461460	PASS	7	7	1	13	3	
18461461	PASS	4	4	1	11	3	
18461477	PASS	6	6	1	13	3	
18461478	PASS	17	17	1	13	3	
18461483	PASS	13	13	1	13	3	
18461484	PASS	7	7	1	13	3	
18461488	PASS	13	13	1	13	3	
18461489	PASS	12	12	1	13	3	
18461492	PASS	5	5	1	13	3	
18461493	PASS	10	10	1	13	3	
18461499	PASS	9	10	1	24	4	
18461500	PASS	11	12	1	24	4	
18461508	PASS	6	6	1	13	3	
18461509	PASS	7	7	1	13	3	
18461518	INELIGIBLE	0	0	0	0	0	{DIRECTION_CONFLICT=1, VIA_WAY_DEFERRED=1}
18461520	PASS	10	11	1	24	4	
18466314	PASS	6	6	1	13	3	
18466321	PASS	8	8	1	13	3	
18466324	PASS	9	9	1	13	3	
18466326	PASS	8	8	1	13	3	
18466327	PASS	8	8	1	13	3	
18466329	PASS	8	8	1	13	3	
18466334	PASS	8	8	1	13	3	
18466335	PASS	8	8	1	13	3	
18466339	PASS	8	8	1	13	3	
18466340	PASS	9	9	1	13	3	
18466349	PASS	9	9	1	13	3	
18466350	PASS	7	7	1	13	3	
18466354	PASS	6	6	1	13	3	
18466359	PASS	18	18	1	13	3	
18466360	PASS	9	9	1	13	3	
18466364	PASS	12	12	1	13	3	
18466365	PASS	7	8	1	13	3	
18466380	PASS	6	7	1	13	3	
18466381	PASS	9	10	1	13	3	
18486767	PASS	7	8	1	21	4	
18486768	PASS	11	12	1	24	4	
18504716	PASS	17	18	1	13	3	
18504729	PASS	13	13	1	13	3	
18504730	PASS	34	35	1	13	3	
18504758	PASS	35	35	1	13	3	
18504759	PASS	7	8	1	13	3	
18593172	PASS	13	15	1	14	3	
19345133	PASS	5	8	1	16	3	
19345134	PASS	5	8	1	14	3	
19345136	PASS	6	5	1	9	3	
19346156	PASS	10	14	1	15	3	
19352332	PASS	16	17	1	13	3	
19353923	PASS	5	6	1	14	3	
19353924	PASS	4	6	1	15	3	
19407091	PASS	7	7	1	20	4	
19407092	PASS	22	24	1	22	4	
19703563	PASS	7	12	1	16	3	
